DoB,alignment,ambition,powerlifting,grapple_control,grip_strength,agility,balance,flexibility,recovery_rate,conditioning,chain_wrestling,mat_transitions,submission_technique,strike_accuracy,brawling_technique,aerial_precision,counter_timing,pressure_handling,promo_delivery,fan_engagement,entrance_presence,presence_under_fire,confidence,focus,resilience,adaptability,risk_assessment,loyalty,political_instinct,determination,condition,contract_company,contract_expiry,contract_promises,contract_type,contract_value,debut_year,diplomacy_buffs,enemies,fan_popularity,finisher,friends,height,hometown,injury,locker_room_impact,loyalty_level,marketability,merchandise_sales,name,name,nicknames,reputation,retirement_year,signatures,stables,tag_teams,weight,wrestling_style
2/5/1972,face,High,17,17,16,15,13,14,17,17,19,18,18,17,18,17,16,17,20,20,20,19,20,18,19,17,18,17,18,19,,,,,,,1996,,,,,,77,"Miami, Florida",,,,,,The Rock,,,,,"People's Elbow, Spinebuster, Sharpshooter",,,260,
18/12/1964,face,Moderate,18,17,17,14,13,14,18,18,19,18,17,16,19,17,16,18,20,19,19,18,20,17,20,18,17,18,20,18,,,,,,,1989,,,,,,74,"Victoria, Texas",,,,,,Stone Cold,,,,,"Lou Thesz Press, Mudhole Stomp, Second Rope Elbow",,,252,
24/03/1965,face,Low,20,19,17,13,13,11,19,19,19,17,17,16,20,15,16,17,20,19,19,17,19,17,19,17,16,17,19,17,,,,,,,1987,,,,,,82,Death Valley,,,,,,The Undertaker,,,,,"Old School, Big Boot, Flying Clothesline",,,309,
27/07/1969,heel,Very High,19,18,18,15,15,15,18,18,19,18,17,17,19,16,18,18,18,16,18,16,16,16,18,17,17,18,18,16,,,,,,,1992,,,,,,76,"Greenwich, Connecticut",,,,,,Triple H,,,,,"High Knee, Knee Smash, Facebreaker",,,255,
9/11/1970,face,Very Low,14,14,13,18,17,16,15,15,20,18,17,16,15,18,16,17,20,20,20,18,18,16,16,15,15,16,17,16,,,,,,,1990,,,,,,72,"Winnipeg, Manitoba, Canada",,,,,,Chris Jericho,,,,,"Lionsault, Enzuigiri, Springboard Dropkick",,,227,
9/10/1967,heel,Moderate,12,12,11,18,17,17,14,14,17,16,16,15,13,17,15,16,17,17,16,15,16,14,15,14,13,15,16,15,,,,,,,1987,,,,,,70,"El Paso, Texas",,,,,,Eddie Guerrero,,,,,"Three Amigos, Hilo, Tilt-a-Whirl Backbreaker",,,228,
30/10/1973,heel,High,14,14,13,16,15,15,14,14,17,16,16,15,14,16,15,14,18,16,16,15,15,14,15,14,13,14,15,14,,,,,,,1992,,,,,,77,"Toronto, Ontario, Canada",,,,,,Edge,,,,,"Edge-O-Matic, Impaler DDT, Top Rope Clothesline",,,241,
13/07/1972,heel,Moderate,10,10,9,17,17,15,12,12,16,15,14,13,12,16,14,13,15,14,14,13,13,13,12,13,12,13,12,13,,,,,,,1993,,,,,,73,"Minneapolis, Minnesota",,,,,,X-Pac,,,,,"Bronco Buster, Spin Kick, Tornado DDT",,,212,
11/10/1965,face,Low,17,16,16,10,9,8,14,15,14,13,13,12,15,11,12,12,13,13,13,12,13,11,14,12,11,12,12,11,,,,,,,1985,,,,,,73,"San Francisco, California",,,,,,Rikishi,,,,,"Stinkface, Samoan Drop, Corner Splash",,,425,
2/7/1973,face,Very High,7,7,6,9,8,8,8,8,10,9,9,8,8,9,8,8,10,10,9,8,9,7,8,7,6,7,8,7,,,,,,,1989,,,,,,70,"Westbrook, Maine",,,,,,Scotty 2 Hotty,,,,,"Superkick, Hip Toss",,,203,
7/6/1965,face,Very Low,17,16,16,13,13,12,19,18,15,15,14,16,20,11,14,20,18,20,18,20,18,17,20,17,16,19,15,20,,,,,,,1986,,,,,,74,"Bloomington, Indiana",,,,,,Mick Foley,,,,,"Mandible Claw, Cactus Clothesline",,,287,
26/04/1967,heel,Moderate,20,19,19,11,11,10,18,18,13,13,12,14,19,9,13,19,14,15,17,18,17,15,19,15,14,17,13,19,,,,,,,1992,,,,,,83,"Knoxville, Tennessee",,,,,,Kane,,,,,"Big Boot, Flying Clothesline",,,323,
9/12/1968,heel,High,17,18,18,16,15,15,17,17,19,19,20,18,16,14,18,19,15,17,18,19,18,19,18,18,17,18,17,19,,,,,,,1998,,,,,,72,"Pittsburgh, Pennsylvania",,,,,,Kurt Angle,,,,,"Ankle Lock, Moonsault",,,220,
8/2/1972,heel,Moderate,20,20,20,11,11,10,19,19,13,13,12,14,18,8,13,19,14,15,17,18,17,16,19,16,14,17,13,19,,,,,,,1995,,,,,,84,"Aiken, South Carolina",,,,,,Big Show,,,,,"KO Punch, Alley Oop",,,383,
22/10/1970,face,Low,14,13,13,14,14,13,15,15,15,15,14,14,15,13,14,16,14,15,15,16,15,14,15,14,13,15,13,16,,,,,,,1995,,,,,,74,"Burlington, New Jersey",,,,,,D-Lo Brown,,,,,"Headshake Dropkick, Frog Splash",,,268,
28/09/1963,face,Very High,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,1997,,,,,,72,"Annville, Pennsylvania",,,,,,Steve Blackman,,,,,"Spin Kick, Baton Strike",,,246,
11/2/1964,heel,Very Low,17,16,16,15,15,14,16,16,16,16,17,16,17,13,16,17,13,14,14,16,15,15,16,15,14,15,13,17,,,,,,,1997,,,,,,73,"Sacramento, California",,,,,,Ken Shamrock,,,,,"Spinning Heel Kick, Belly-to-Belly Suplex",,,233,
23/09/1974,face,High,13,12,12,16,16,15,15,15,14,14,12,14,15,17,14,16,14,15,15,16,15,14,15,14,12,15,14,16,,,,,,,1994,,,,,,74,"Cameron, North Carolina",,,,,,Matt Hardy,,,,,"Side Effect, Moonsault",,,225,
31/08/1977,face,Moderate,12,11,11,17,17,16,15,15,14,14,13,14,15,18,14,16,14,15,15,16,15,14,15,14,13,15,14,16,,,,,,,1994,,,,,,74,"Cameron, North Carolina",,,,,,Jeff Hardy,,,,,"Whisper in the Wind, Poetry in Motion",,,225,
15/05/1958,heel,Low,19,18,18,12,12,11,15,15,14,14,13,15,16,10,14,16,15,16,16,15,15,14,16,14,13,15,14,16,,,,,,,1986,,,,,,74,"Warner Robins, Georgia",,,,,,Ron Simmons,,,,,"Dominator, Shoulder Block",,,270,
10/11/1973,heel,Very High,15,14,14,15,15,14,14,14,16,16,15,15,14,14,15,15,16,16,16,15,15,14,15,14,14,15,14,15,,,,,,,1995,,,,,,72,"Kitchener, Ontario, Canada",,,,,,Christian,,,,,"Frog Splash, Spear",,,215,
16/02/1969,heel,Very Low,14,13,13,13,13,12,13,13,13,13,12,14,14,13,13,14,14,14,14,13,13,12,14,13,12,13,12,14,,,,,,,1988,,,,,,74,"Fort Lauderdale, Florida",,,,,,Gangrel,,,,,"Neckbreaker, Suplex",,,240,
25/08/1971,heel,Moderate,12,11,11,14,14,13,14,14,13,13,12,13,14,14,13,14,13,14,14,13,13,12,14,13,12,13,12,14,,,,,,,1989,,,,,,69,"Anaheim, California",,,,,,Crash Holly,,,,,"Moonsault, Dropkick",,,212,
7/4/1969,face,High,10,9,9,12,12,11,13,13,11,11,10,12,13,12,12,13,12,13,13,12,12,11,13,12,11,12,11,13,,,,,,,11/1997,,,,,,76,"Mays Landing, New Jersey",,,,,,Droz,,,,,"Suplex, Clothesline",,,270,
10/7/1959,heel,Moderate,10,9,9,10,10,9,12,12,10,10,9,11,12,11,11,12,11,12,12,11,11,10,12,11,10,11,10,12,,,,,,,1990,,,,,,72,"Glen Burnie, Maryland",,,,,,Gillberg,,,,,"Jackhammer, Spear",,,227,
18/07/1963,face,Low,10,9,9,10,10,9,10,10,10,10,9,10,11,10,10,10,10,11,11,10,10,10,11,10,10,10,10,11,,,,,,,1982,,,,,,72,"Lima, Ohio",,,,,,Al Snow,,,,,"Headbutt, DDT",,,234,
10/1/1972,heel,Very High,12,11,11,14,14,13,13,13,12,12,11,13,14,14,13,14,13,14,14,13,13,12,14,13,12,13,12,14,,,,,,,1988,,,,,,70,"Memphis, Tennessee",,,,,,Grandmaster Sexay,,,,,"Dropkick, Neckbreaker",,,213,
6/6/1963,face,Very Low,18,17,17,13,13,12,14,14,13,13,12,15,16,12,14,15,15,16,16,15,15,14,16,15,14,15,14,16,,,,,,,1992,,,,,,74,"Pearl River, Mississippi",,,,,,Ahmed Johnson,,,,,"Spinebuster, Clothesline",,,305,
9/7/1959,heel,Moderate,20,20,20,14,14,13,17,17,15,15,14,16,17,12,15,18,16,17,17,16,17,16,17,16,15,18,20,18,,,,,,,1990,,,,,,83,"Detroit, Michigan",,,,,,Kevin Nash,,,,,"Big Boot, Snake Eyes",,,328,
20/10/1958,heel,High,19,18,18,14,14,13,15,15,15,15,14,17,18,12,15,18,17,18,18,17,18,17,18,17,15,18,19,18,,,,,,,1984,,,,,,79,"St. Mary's County, Maryland",,,,,,Scott Hall,,,,,"Fallaway Slam, Chokeslam",,,287,
4/8/1960,heel,Moderate,13,14,14,14,15,15,15,15,16,16,17,14,15,13,14,15,12,13,13,15,14,15,15,15,14,13,12,15,,,,,,,1979,,,,,,70,"Tampa, Florida",,,,,,Dean Malenko,,,,,"Brainbuster, Dropkick",,,212,
25/10/1966,heel,Low,15,15,15,16,16,15,15,15,17,17,18,16,15,13,16,16,12,13,13,15,14,15,16,15,14,13,12,15,,,,,,,1990,,,,,,70,"Cleveland, Ohio",,,,,,Perry Saturn,,,,,"T-Bone Suplex, Moonsault",,,234,
14/02/1971,heel,Very High,19,18,18,8,8,7,14,14,10,10,9,12,13,7,11,13,11,12,12,12,13,12,13,12,11,12,11,13,,,,,,,1991,,,,,,79,"Harlem, New York",,,,,,Viscera,,,,,"Samoan Drop, Leg Drop",,,487,
26/12/1969,heel,Very Low,16,15,15,10,10,9,13,13,11,11,10,13,14,8,12,14,10,11,11,13,12,13,14,13,12,11,10,14,,,,,,,1988,,,,,,73,"Jacksonville, Florida",,,,,,Mideon,,,,,"DDT, Clothesline",,,275,
16/05/1961,face,High,17,16,16,12,12,11,14,14,13,13,12,14,15,10,13,15,16,17,17,14,15,14,15,14,13,15,14,15,,,,,,,1989,,,,,,78,"Palo Alto, California",,,,,,The Godfather,,,,,"Ho Train, Leg Drop",,,265,
12/6/1971,face,Moderate,20,18,18,10,10,9,15,15,12,12,11,13,14,9,12,14,13,14,14,13,14,13,14,13,12,14,13,14,,,,,,,1996,,,,,,74,"Silsbee, Texas",,,,,,Mark Henry,,,,,"Bearhug, Headbutt",,,360,
14/11/1972,heel,Low,18,17,17,13,13,12,14,14,13,13,12,14,15,11,13,15,11,12,12,14,13,14,15,14,13,12,11,15,,,,,,,1997,,,,,,78,"Boston, Massachusetts",,,,,,Albert,,,,,"Scissors Kick, Bicycle Kick",,,350,
2/7/1957,face,Very High,16,18,17,15,15,14,17,17,19,19,19,16,15,14,17,18,16,17,17,17,17,18,18,17,16,18,17,18,,,,,,,1976,,,,,,72,"Calgary, Alberta, Canada",,,,,,Bret Hart,,,,,"Russian Leg Sweep, Elbow Drop",,,235,
7/5/1965,heel,Very Low,13,13,14,14,14,13,14,14,15,15,15,13,12,13,14,14,13,14,14,14,14,14,14,14,13,14,14,13,,,,,,,1986,,,,,,70,"Calgary, Alberta, Canada",,,,,,Owen Hart,,,,,"Enzuigiri, Top Rope Dropkick",,,227,
22/07/1965,face,Moderate,19,18,18,18,18,17,18,18,19,19,19,18,17,17,18,18,19,20,20,18,18,18,18,18,17,18,19,18,,,,,,,1984,,,,,,73,"San Antonio, Texas",,,,,,Shawn Michaels,,,,,"Flying Elbow, Kip-Up",,,225,
29/11/1966,heel,High,17,16,16,13,13,12,15,15,14,14,13,14,14,12,14,15,14,15,15,15,14,14,15,14,13,14,14,15,,,,,,,1995,,,,,,78,"Sweetwater, Texas",,,,,,Bradshaw,,,,,"Powerbomb, Fallaway Slam",,,297,
14/07/1971,face,Moderate,16,15,15,12,12,11,14,14,13,13,12,13,13,11,13,14,13,14,14,14,13,13,14,13,12,13,13,14,,,,,,,1991,,,,,,74,"Queens, New York",,,,,,Bubba Ray Dudley,,,,,"Neckbreaker, Bubba Bomb",,,280,
1/8/1972,face,Low,16,15,15,12,12,11,14,14,13,13,12,13,13,11,13,14,13,14,14,14,13,13,14,13,12,13,13,14,,,,,,,1991,,,,,,74,"Brooklyn, New York",,,,,,D-Von Dudley,,,,,"Neckbreaker, DDT",,,280,
10/5/1968,heel,Very High,15,16,16,15,15,14,15,15,16,16,15,15,14,14,15,15,16,16,16,15,15,15,15,15,14,15,15,15,,,,,,,1983,,,,,,74,"Blackpool, United Kingdom",,,,,,William Regal,,,,,"European Uppercut, Knee Trembler",,,243,
11/10/1967,face,Very Low,12,13,12,11,11,10,12,12,13,13,14,12,12,10,12,13,12,12,12,12,12,13,13,12,12,13,12,13,,,,,,,1990,,,,,,69,"Red Hook, Brooklyn, New York",,,,,,Tazz,,,,,"Suplex, Head-and-Arm Tazplex",,,240,
11/4/1969,heel,Moderate,14,15,15,14,14,13,15,15,16,16,15,15,16,13,15,16,15,16,16,15,15,15,16,15,14,16,15,16,,,,,,,1988,,,,,,74,"Austin, Texas",,,,,,Goldust,,,,,"Shattered Dreams, Bionic Elbow",,,260,
14/07/1967,heel,High,14,14,14,14,14,14,14,14,15,15,14,14,15,14,14,15,14,15,15,14,14,14,15,14,14,15,14,15,,,,,,,1986,,,,,,71,"Hendersonville, Tennessee",,,,,,Jeff Jarrett,,,,,"Swinging Neckbreaker, Figure-Four Leglock",,,230,
29/01/1963,heel,Moderate,12,13,13,11,11,10,11,11,12,11,11,11,12,10,12,12,12,12,12,11,11,12,12,12,11,12,11,12,,,,,,,1987,,,,,,72,"Tallahassee, Florida",,,,,,Hardcore Holly,,,,,"Dropkick, Falcon Arrow",,,235,
2/5/1963,heel,Low,17,16,16,13,13,12,14,14,14,14,13,14,15,12,14,15,14,15,15,14,14,14,15,14,13,15,14,15,,,,,,,1985,,,,,,77,"Cobb County, Georgia",,,,,,The Big Boss Man,,,,,"Sidewalk Slam, Uppercut",,,305,
15/01/1970,face,Very High,13,14,14,16,16,15,15,15,14,14,13,14,15,15,14,15,14,15,15,14,14,14,15,14,13,15,14,15,,,,,,,1998,,,,,,72,"Greenwich, Connecticut",,,,,,Shane McMahon,,,,,"Shooting Star Press, Elbow Drop",,,230,
17/03/1975,heel,Very Low,16,15,15,14,14,13,15,15,15,15,14,15,16,13,14,16,15,16,16,14,14,14,16,14,14,15,15,16,,,,,,,1998,,,,,,78,"Toronto, Ontario, Canada",,,,,,Test,,,,,"Big Boot, Diving Elbow Drop",,,282,
18/09/1964,heel,High,13,14,14,13,13,12,14,14,14,14,14,14,14,12,14,14,14,15,14,13,14,14,13,13,12,13,14,14,,,,,,,1988,,,,,,71,"Philadelphia, Pennsylvania",,,,,,Raven,,,,,"Russian Leg Sweep, Knee Lift",,,237,
29/09/1970,heel,Moderate,13,14,13,16,16,15,14,14,14,14,15,16,13,15,14,14,13,14,14,13,13,13,13,13,12,13,13,13,,,,,,,1994,,,,,,67,"Tokyo, Japan",,,,,,Tajiri,,,,,"Handsring Elbow, Tarantula",,,220,
7/10/1975,heel,Low,16,16,16,12,12,11,15,15,14,14,13,15,15,11,14,16,14,16,16,14,14,14,16,14,13,15,14,16,,,,,,,1994,,,,,,72,"Detroit, Michigan",,,,,,Rhyno,,,,,"Spinebuster, Belly-to-Belly Suplex",,,275,